Date,PV
2025-08-27,1278981.276
2025-08-28,1280625.713
2025-08-29,1282429.728
2025-08-30,1279526.243
2025-08-31,1279383.68
2025-09-01,1279488.754
2025-09-02,1283212.561
2025-09-03,1287058.071
2025-09-04,1286254.778
2025-09-05,1285818.537
2025-09-06,1285630.957
2025-09-07,1285981.497
2025-09-08,1276722.864
2025-09-09,1276247.148
2025-09-10,1275231.511
2025-09-11,1278446.611
2025-09-12,1282078.3
2025-09-13,1281464.177
2025-09-14,1287914.036
2025-09-15,1290373.352
2025-09-16,1290327.263
2025-09-17,1293412.786
2025-09-18,1288510.681
2025-09-19,1292908.2
2025-09-20,1301904.223
2025-09-21,1303553.071
2025-09-22,1306515.077
2025-09-23,1305981.152
2025-09-24,1305447.75
2025-09-25,1299890.4
2025-09-26,1298918.375
2025-09-27,1299490.661
2025-09-28,1302277.452
2025-09-29,1310835.19
2025-09-30,1309635.19
2025-10-01,1304435.19
2025-10-02,1303635.19
2025-10-03,1313935.19
2025-10-04,1315235.19
2025-10-05,1316235.19
2025-10-06,1321035.19
2025-10-07,1329935.19
2025-10-08,1328735.19
2025-10-09,1326435.19
2025-10-10,1349135.19
2025-10-11,1364335.19
2025-10-12,1375335.19
2025-10-13,1379735.19
